"text","intent","lang"
"chal yaar main jaa raha","farewell","hi"

"what is today's timetable","timetable","en"
"can you share my timetable","timetable","en"
"please send today's schedule","timetable","en"
"when is my next class","timetable","en"
"what subject is at 11 am","timetable","en"
"tell me today's routine","timetable","en"
"i need the timetable","timetable","en"
"send me the weekly schedule","timetable","en"
"what class do I have right now","timetable","en"
"share the timetable please","timetable","en"

"aaj ka timetable kya hai","timetable","hi"
"mujhe schedule bhej do","timetable","hi"
"aaj ka period kaun sa hai","timetable","hi"
"agli class kaun si hai","timetable","hi"
"aaj ka routine kya hai","timetable","hi"
"11 baje kaun sa lecture hai","timetable","hi"
"kal ka timetable batao","timetable","hi"
"mera aaj ka schedule send karo","timetable","hi"
"aaj kitni classes hain","timetable","hi"
"mujhe timetable chahiye","timetable","hi"
"आज का टाइमटेबल क्या है","timetable","hi"
"आज कौन सी क्लास है","timetable","hi"
"क्लास का शेड्यूल भेजो","timetable","hi"
"मेरा आज का टाइमटेबल","timetable","hi"
"आज कौन सा lecture है","timetable","hi"


"bro aaj ka timetable bhej","timetable","hi"
"bhai 11 baje kya class hai","timetable","hi"
"yaar schedule send kar de","timetable","hi"
"kal ka timetable mil jayega?","timetable","hi"
"bro agli class kya hai","timetable","hi"
"aaj kitne lectures hain","timetable","hi"
"bhai routine bhej de","timetable","hi"
"yaar mujhe weekly timetable chahiye","timetable","hi"
"bhai class ka time kya hai","timetable","hi"

"when is the exam","exam_query","en"
"what is the exam date","exam_query","en"
"can you tell me the exam schedule","exam_query","en"
"when are the midterm exams","exam_query","en"
"please send the exam timetable","exam_query","en"
"is the exam postponed","exam_query","en"
"do we have exam tomorrow","exam_query","en"
"what time does the exam start","exam_query","en"
"which hall is the exam in","exam_query","en"
"when is the maths exam","exam_query","en"
"what subjects are in this exam","exam_query","en"
"can you share the exam routine","exam_query","en"
"when is the final exam","exam_query","en"
"did the exam date change","exam_query","en"
"how many exams are left","exam_query","en"
"what is the first exam","exam_query","en"
"where can I check exam dates","exam_query","en"
"please update me about the exam","exam_query","en"
"what is the exam pattern","exam_query","en"
"how long is the exam","exam_query","en"
"how many questions will be in the exam","exam_query","en"
"is the exam online or offline","exam_query","en"
"can I get the exam notice","exam_query","en"
"when is the next exam","exam_query","en"
"do we have a surprise test","exam_query","en"
"please confirm exam dates","exam_query","en"
"which subject exam is today","exam_query","en"
"send me the exam details","exam_query","en"
"will the exam be easy","exam_query","en"
"how much time is given for exam","exam_query","en"
"what is passing marks in this exam","exam_query","en"
"is the exam center same","exam_query","en"
"where is the exam center","exam_query","en"
"what is the exam timing","exam_query","en"
"what chapters are included in exam","exam_query","en"
"is admit card needed for exam","exam_query","en"
"how to prepare for exam","exam_query","en"
"when will exam results come","exam_query","en"
"do we have exam next week","exam_query","en"

"exam kab hai","exam_query","hi"
"puri exam date batao","exam_query","hi"
"aaj exam hai kya","exam_query","hi"
"kal wala exam cancel hua kya","exam_query","hi"
"mujhe exam schedule chahiye","exam_query","hi"
"exam kis time hoga","exam_query","hi"
"kaunse hall me exam hai","exam_query","hi"
"maths ka exam kab hai","exam_query","hi"
"agla exam kab padega","exam_query","hi"
"exam ka notice bhejo","exam_query","hi"
"aaj ka exam kis subject ka hai","exam_query","hi"
"exam postpone hua kya","exam_query","hi"
"exam offline hoga ya online","exam_query","hi"
"mujhe exam timing chahiye","exam_query","hi"
"kaunse chapter exam me aayenge","exam_query","hi"
"result kab aayega exam ka","exam_query","hi"
"final exam kab se start hoga","exam_query","hi"
"unit test kab hai","exam_query","hi"
"exam ki tayari kaise karu","exam_query","hi"
"passing marks kitne hai","exam_query","hi"
"exam center kaha hai","exam_query","hi"
"exam ka pattern kya hai","exam_query","hi"
"surprise test hai kya aaj","exam_query","hi"
"exam ke liye kya bring karna hai","exam_query","hi"
"mujhe exam related notice bhejo","exam_query","hi"
"exam hall number kya hai","exam_query","hi"
"pagal mat banao exam kab hai","exam_query","hi"
"mujhe exam ka pura schedule bhejo","exam_query","hi"
"exam me kitna time milta hai","exam_query","hi"
"subject wise exam dates do","exam_query","hi"
"mera admit card kahan hai","exam_query","hi"
"kaun se subject ka exam hai","exam_query","hi"
"exam next week hai kya","exam_query","hi"
"last exam kab tha","exam_query","hi"
"midterm kab start hoga","exam_query","hi"
"exam list bhej do","exam_query","hi"
"important exam topics kya hai","exam_query","hi"
"exam morning ya evening hai","exam_query","hi"

"bro exam kab hai","exam_query","hi"
"bhai exam date bhej de","exam_query","hi"
"yaar exam cancel hua kya","exam_query","hi"
"bro exam ka pattern kya hai","exam_query","hi"
"exam ka timing bata na","exam_query","hi"
"bhai maths ka exam kab hai","exam_query","hi"
"yaar aaj test hai kya","exam_query","hi"
"bro kal ka exam confirm hai","exam_query","hi"
"exam online hai kya","exam_query","hi"
"bhai admit card chahiye kya","exam_query","hi"
"yaar exam center kidhar hai","exam_query","hi"
"bro exam tough hoga kya","exam_query","hi"
"bhai chapters batao exam ke","exam_query","hi"
"exam routine send kar","exam_query","hi"
"yaar next exam kab padega","exam_query","hi"
"bhai result kab aayega","exam_query","hi"
"bro surprise test hai kya","exam_query","hi"
"bhai exam ke notes bhej de","exam_query","hi"
"yaar kitna time milega exam me","exam_query","hi"
"bro exam ka hall number kya hai","exam_query","hi"
"yaar final exam kab se shuru","exam_query","hi"
"bhai exam ki tayari kaise karu","exam_query","hi"
"bro exam ka notice bhej","exam_query","hi"
"yaar subject wise exam dates bhejo","exam_query","hi"
"bhai kal exam hai kya","exam_query","hi"
"exam ke liye kya le kar aana hai","exam_query","hi"
"bro exam center same hai kya","exam_query","hi"
"yaar exam ke chapters kaunse","exam_query","hi"
"bhai mujhe schedule chahiye","exam_query","hi"
"exam morning hoga kya","exam_query","hi"
"bro exam me negative marking hai kya","exam_query","hi"
"yaar admit card mil gaya kya","exam_query","hi"
"bhai exam kitne baje start","exam_query","hi"
"yaar exam ka full routine bhej","exam_query","hi"
"bro unit test kab se","exam_query","hi"
"bhai aaj ka exam kis subject ka","exam_query","hi"
"yaar exam ka updated timetable bhej","exam_query","hi"
"bhai exam confirm ho gaya kya","exam_query","hi"

"please send the latest notice","notice_request","en"
"where can I find the new notice","notice_request","en"
"is there any important announcement today","notice_request","en"
"share the notice regarding exams","notice_request","en"
"what notices were uploaded today","notice_request","en"
"can you give me the official notice","notice_request","en"
"where is the notice board","notice_request","en"
"send me the notice pdf","notice_request","en"
"has any new notice been posted","notice_request","en"
"i want the notice about holidays","notice_request","en"
"update me with the latest notice","notice_request","en"
"where is the circular","notice_request","en"
"i need the academic notice","notice_request","en"
"what is written in the new notice","notice_request","en"
"please share today's announcement","notice_request","en"
"where can I download the notice","notice_request","en"
"is there a notice about timetable","notice_request","en"
"give me the updated notice","notice_request","en"
"send the event notice","notice_request","en"
"has the notice been released","notice_request","en"
"is there a notice about fees","notice_request","en"
"please provide me the notice details","notice_request","en"
"i want the notice link","notice_request","en"
"is the notice available online","notice_request","en"
"show me the new circular","notice_request","en"
"send the official announcement","notice_request","en"
"notice about exam postponed please","notice_request","en"
"i need the notice urgently","notice_request","en"
"where is the notice published","notice_request","en"
"please give me yesterday's notice","notice_request","en"

"aaj ka notice bhejo","notice_request","hi"
"kya koi naya notice aaya hai","notice_request","hi"
"mujhe latest notice chahiye","notice_request","hi"
"exam ka notice mil sakta hai","notice_request","hi"
"holiday ka notice bhejo","notice_request","hi"
"notice board kaha hai","notice_request","hi"
"mujhe notice pdf chahiye","notice_request","hi"
"kya timetable ka notice aaya","notice_request","hi"
"aaj ki announcement kya hai","notice_request","hi"
"college ka notice bhejo","notice_request","hi"
"fees ka notice chahiye","notice_request","hi"
"official notice kahan milega","notice_request","hi"
"naya circular upload hua kya","notice_request","hi"
"syllabus ka notice bhejo","notice_request","hi"
"mujhe urgent notice chahiye","notice_request","hi"
"exam postpone notice upload hua","notice_request","hi"
"event ka notice do","notice_request","hi"
"mujhe purana notice chahiye","notice_request","hi"
"notice ka link bhejo","notice_request","hi"
"mujhe announcement sunani hai","notice_request","hi"
"kya online notice available hai","notice_request","hi"
"ye notice kis cheez ka hai","notice_request","hi"
"notice update kab hota hai","notice_request","hi"
"mujhe circular chahiye","notice_request","hi"
"hostel ka notice bhejo","notice_request","hi"
"library notice mila kya","notice_request","hi"
"transport ka notice chahiye","notice_request","hi"
"exam form notice bhejna","notice_request","hi"
"attendance related notice bhejo","notice_request","hi"
"kya principal ka notice aaya","notice_request","hi"

"bro notice bhej de","notice_request","hi"
"bhai koi naya notice aaya kya","notice_request","hi"
"yaar exam notice send kar","notice_request","hi"
"bro holiday notice ka link bhej","notice_request","hi"
"koi announcement aayi kya","notice_request","hi"
"bhai notice board kidhar hai","notice_request","hi"
"yaar pdf notice de de","notice_request","hi"
"bro timetable notice bhej","notice_request","hi"
"bhai latest circular bhejna","notice_request","hi"
"yaar college ka notice chahiye","notice_request","hi"
"bro fees notice send kar","notice_request","hi"
"bhai official notice kidhar milega","notice_request","hi"
"yaar koi new update notice me","notice_request","hi"
"bro event notice bhejna please","notice_request","hi"
"bhai urgent notice bhej","notice_request","hi"
"yaar exam postpone notice bhej","notice_request","hi"
"bro hostel notice mila kya","notice_request","hi"
"yaar library notice bhej de","notice_request","hi"
"bhai transport notice chahiye","notice_request","hi"
"bro notice ka link de do","notice_request","hi"
"yaar yesterday ka notice bhejna","notice_request","hi"
"bro kis cheez ka notice hai ye","notice_request","hi"
"bhai announcement kya aayi","notice_request","hi"
"yaar notice section open nahi ho raha","notice_request","hi"
"bro circular download karwa","notice_request","hi"
"bhai principal ka notice bhejo","notice_request","hi"
"yaar mujhe previous notice chahiye","notice_request","hi"
"bro attendance notice bhejna","notice_request","hi"
"bhai notice update ho gaya kya","notice_request","hi"

"please share the syllabus","syllabus_request","en"
"can I get the updated syllabus","syllabus_request","en"
"send me the syllabus pdf","syllabus_request","en"
"what chapters are in the syllabus","syllabus_request","en"
"i need the full syllabus","syllabus_request","en"
"where can I download the syllabus","syllabus_request","en"
"is the syllabus changed","syllabus_request","en"
"show me the new syllabus","syllabus_request","en"
"share subject wise syllabus","syllabus_request","en"
"what topics will come in exam","syllabus_request","en"
"please provide the course outline","syllabus_request","en"
"is there any updated syllabus","syllabus_request","en"
"send the term syllabus","syllabus_request","en"
"upload the syllabus please","syllabus_request","en"
"i want the syllabus details","syllabus_request","en"
"what is included in chapter 1","syllabus_request","en"
"can you explain the syllabus","syllabus_request","en"
"give me the practical syllabus","syllabus_request","en"
"send the theory syllabus","syllabus_request","en"
"what should I study for exam","syllabus_request","en"
"where is the syllabus document","syllabus_request","en"
"please send semester syllabus","syllabus_request","en"
"what chapters are important","syllabus_request","en"
"is the syllabus same as last year","syllabus_request","en"
"share me the module list","syllabus_request","en"
"show me unit wise syllabus","syllabus_request","en"
"i need the entire syllabus file","syllabus_request","en"
"upload chapter wise topics","syllabus_request","en"
"share curriculum details","syllabus_request","en"
"please send updated contents","syllabus_request","en"

"mujhe syllabus chahiye","syllabus_request","hi"
"syllabus pdf bhejo","syllabus_request","hi"
"syllabus update hua kya","syllabus_request","hi"
"chapter wise syllabus do","syllabus_request","hi"
"exam me kaunse chapters aayenge","syllabus_request","hi"
"mujhe course outline chahiye","syllabus_request","hi"
"naya syllabus bhejna","syllabus_request","hi"
"unit wise syllabus send karo","syllabus_request","hi"
"pure syllabus ki list do","syllabus_request","hi"
"practical ka syllabus kya hai","syllabus_request","hi"
"theory syllabus bhej do","syllabus_request","hi"
"semester ka syllabus chahiye","syllabus_request","hi"
"chapter 1 me kya hai","syllabus_request","hi"
"kya syllabus change hua","syllabus_request","hi"
"mujhe updated syllabus download karna hai","syllabus_request","hi"
"module list bhejna","syllabus_request","hi"
"important topics kon se hai","syllabus_request","hi"
"exam ke liye kya padhna hai","syllabus_request","hi"
"ye subject ka syllabus batao","syllabus_request","hi"
"previous year syllabus same hai kya","syllabus_request","hi"
"syllabus ka document kaha milega","syllabus_request","hi"
"naye contents upload hue kya","syllabus_request","hi"
"unit ka naam kya hai","syllabus_request","hi"
"course content bhej do","syllabus_request","hi"
"subject-wise syllabus do","syllabus_request","hi"
"2nd unit me kya topics aaye","syllabus_request","hi"
"syllabus jaldi bhejna","syllabus_request","hi"
"chapter ki details send karo","syllabus_request","hi"
"curriculum pdf upload karo","syllabus_request","hi"

"bro syllabus bhej de","syllabus_request","hi"
"bhai updated syllabus hai kya","syllabus_request","hi"
"yaar pdf bhej syllabus ki","syllabus_request","hi"
"bro kya kya aayega exam me","syllabus_request","hi"
"unit wise syllabus bhejna","syllabus_request","hi"
"bhai course outline de de","syllabus_request","hi"
"yaar chapter list bhej do","syllabus_request","hi"
"bro naya syllabus upload hua kya","syllabus_request","hi"
"bhai module ka list bhejna","syllabus_request","hi"
"yaar exam ke liye kya padhu","syllabus_request","hi"
"bro practical syllabus bhej","syllabus_request","hi"
"bhai theory syllabus chahiye","syllabus_request","hi"
"yaar second unit me kya hai","syllabus_request","hi"
"bro pure subject ka syllabus bhej","syllabus_request","hi"
"bhai curriculum file bhejo","syllabus_request","hi"
"yaar important topics bata","syllabus_request","hi"
"bro subject ke chapters bhej","syllabus_request","hi"
"bhai updated content mila kya","syllabus_request","hi"
"bro chapter 1 ka content bhejo","syllabus_request","hi"
"yaar exam me kaunse units aayenge","syllabus_request","hi"
"bro syllabus file nahi mil rahi","syllabus_request","hi"
"bhai semester syllabus bhej de","syllabus_request","hi"
"yaar pdf open nahi ho raha","syllabus_request","hi"
"bro syllabus download karwa","syllabus_request","hi"
"bhai updated topics bhejna","syllabus_request","hi"
"yaar mujhe syllabus urgently chahiye","syllabus_request","hi"
"bro exam syllabus confirm kar","syllabus_request","hi"
"bhai subject outline bhejo","syllabus_request","hi"
"yaar syllabus update nahi ho raha","syllabus_request","hi"

"when is the next event","event_info","en"
"please share event details","event_info","en"
"what events are happening this week","event_info","en"
"is there any workshop today","event_info","en"
"send me the event schedule","event_info","en"
"where is the seminar happening","event_info","en"
"what time is the event","event_info","en"
"who is conducting the event","event_info","en"
"i want to register for the event","event_info","en"
"share the event poster","event_info","en"
"is the event free or paid","event_info","en"
"send me tomorrow's event details","event_info","en"
"where is the competition","event_info","en"
"how can I join the event","event_info","en"
"please update event timings","event_info","en"
"what is today's college event","event_info","en"
"who is the guest speaker","event_info","en"
"what events are planned this month","event_info","en"
"where to register for workshop","event_info","en"
"is there any cultural event","event_info","en"
"send me hackathon information","event_info","en"
"where is the event venue","event_info","en"
"is food provided in event","event_info","en"
"how long is the event","event_info","en"
"can I volunteer in event","event_info","en"
"send the event link","event_info","en"
"is online event available","event_info","en"
"what is the theme of the event","event_info","en"
"please share event brochure","event_info","en"

"aaj koi event hai kya","event_info","hi"
"mujhe event details chahiye","event_info","hi"
"iss week ka event kya hai","event_info","hi"
"kya aaj workshop hai","event_info","hi"
"event ka schedule bhejo","event_info","hi"
"seminar kaha ho raha","event_info","hi"
"event kis time hoga","event_info","hi"
"guest speaker kaun hai","event_info","hi"
"event ka registration kaise kare","event_info","hi"
"event poster bhejna","event_info","hi"
"kya event free hai","event_info","hi"
"kal ka event kya hai","event_info","hi"
"competition kaha ho raha","event_info","hi"
"mujhe event join karna hai","event_info","hi"
"event timing update karo","event_info","hi"
"aaj ka college event kya hai","event_info","hi"
"cultural event kab hai","event_info","hi"
"kya koi seminar hai aaj","event_info","hi"
"hackathon ki details bhejo","event_info","hi"
"venue kidhar hai","event_info","hi"
"event kitni der chalega","event_info","hi"
"kya main participate kar sakta hoon","event_info","hi"
"event ka link send karo","event_info","hi"
"kya online event available hai","event_info","hi"
"event ka theme kya hai","event_info","hi"
"brochure bhejo event ka","event_info","hi"
"event list bhejna","event_info","hi"
"monthly event calendar bhejo","event_info","hi"
"kya registration compulsory hai","event_info","hi"

"bro aaj koi event hai kya","event_info","hi"
"bhai event details bhej","event_info","hi"
"yaar workshop kab hai","event_info","hi"
"bro event ka time kya hai","event_info","hi"
"bhai venue kidhar hai event ka","event_info","hi"
"yaar event ka poster bhej","event_info","hi"
"bro registration kaise kare","event_info","hi"
"bhai kal ka event kya hai","event_info","hi"
"yaar hackathon kab hai","event_info","hi"
"bro guest speaker kaun hai","event_info","hi"
"bhai aaj cultural event hai kya","event_info","hi"
"yaar competition kidhar ho raha","event_info","hi"
"bro mujhe event join karna hai","event_info","hi"
"bhai event ka link bhej de","event_info","hi"
"yaar event kab start hoga","event_info","hi"
"bro food milega kya event me","event_info","hi"
"yaar event kitni der chalega","event_info","hi"
"bhai seminar kaha chal raha","event_info","hi"
"bro theme kya hai event ka","event_info","hi"
"bhai event ka calendar bhejna","event_info","hi"
"yaar main volunteer ban sakta hoon kya","event_info","hi"
"bro event ki timing update kar","event_info","hi"
"bhai poster bhejna","event_info","hi"
"yaar registration compulsory hai kya","event_info","hi"
"bro online event available","event_info","hi"
"bhai event ka brochure bhejna","event_info","hi"
"yaar mujhe full event list chahiye","event_info","hi"
"bro monthly events bhejna","event_info","hi"
"bhai workshop ki info de","event_info","hi"
"how to apply for hostel","hostel_info","en"
"where is the hostel office","hostel_info","en"
"what are the hostel fees","hostel_info","en"
"is hostel admission open","hostel_info","en"
"how many seats are available in the hostel","hostel_info","en"
"when will hostel allotment start","hostel_info","en"
"what documents are needed for hostel","hostel_info","en"
"can I change my hostel room","hostel_info","en"
"is hostel wifi available","hostel_info","en"
"what are hostel rules","hostel_info","en"
"can parents visit the hostel","hostel_info","en"
"is hostel mess compulsory","hostel_info","en"
"what is the hostel curfew time","hostel_info","en"
"how to pay hostel fees","hostel_info","en"
"can I stay in hostel during vacation","hostel_info","en"
"where can I get hostel form","hostel_info","en"
"is hostel available for first years","hostel_info","en"
"can I share room with my friend","hostel_info","en"
"when will hostel list come","hostel_info","en"
"what is hostel contact number","hostel_info","en"
"hostel ka form kaha milega","hostel_info","hi"
"hostel fees kitni hai","hostel_info","hi"
"hostel admission kab start hoga","hostel_info","hi"
"hostel me seats available hai kya","hostel_info","hi"
"mujhe hostel allotment list chahiye","hostel_info","hi"
"hostel rules batao","hostel_info","hi"
"hostel me wifi milta hai kya","hostel_info","hi"
"room change ho sakta hai kya","hostel_info","hi"
"mess compulsory hai kya","hostel_info","hi"
"curfew time kya hai hostel ka","hostel_info","hi"
"parents visit allowed hai kya","hostel_info","hi"
"hostel form submit kaha kare","hostel_info","hi"
"vacation me reh sakte kya hostel me","hostel_info","hi"
"first year ko hostel milta kya","hostel_info","hi"
"hostel fees kaise pay kare","hostel_info","hi"
"hostel office kidhar hai","hostel_info","hi"
"hostel ka contact number bhejo","hostel_info","hi"
"allotment kab tak aayega","hostel_info","hi"
"room share kar sakte kya","hostel_info","hi"
"hostel ka mess kaisa hai","hostel_info","hi"
"bro hostel form kidhar milega","hostel_info","hi"
"bhai hostel fees kitni hai","hostel_info","hi"
"yaar hostel admission open hai kya","hostel_info","hi"
"bro hostel allotment kab","hostel_info","hi"
"bhai hostel wifi kaam karta kya","hostel_info","hi"
"yaar room change possible hai kya","hostel_info","hi"
"bro mess compulsory hai kya","hostel_info","hi"
"bhai hostel ke rules bhej","hostel_info","hi"
"yaar hostel ka curfew time kya hai","hostel_info","hi"
"bro hostel office kidhar","hostel_info","hi"
"bhai hostel list kab aayegi","hostel_info","hi"
"yaar parents allowed hai kya hostel me","hostel_info","hi"
"bro hostel ke documents kya chahiye","hostel_info","hi"
"bhai room sharing ho sakta kya","hostel_info","hi"
"yaar hostel me seat milegi kya","hostel_info","hi"
"bro hostel form submit kidhar","hostel_info","hi"
"bhai vacation me reh sakte kya hostel","hostel_info","hi"
"yaar hostel contact number de","hostel_info","hi"
"bro first year ko hostel milta kya","hostel_info","hi"
"bhai mess kaisa hota","hostel_info","hi"
"what are the college fees","fees_info","en"
"how to pay semester fees","fees_info","en"
"is online fees payment available","fees_info","en"
"when is the last date for fees","fees_info","en"
"how much is exam fees","fees_info","en"
"is late fees applicable","fees_info","en"
"can I pay fees in installments","fees_info","en"
"send me the fee structure","fees_info","en"
"what is the admission fee","fees_info","en"
"where to pay hostel fees","fees_info","en"
"how to download fees receipt","fees_info","en"
"when will payment portal open","fees_info","en"
"is UPI payment allowed","fees_info","en"
"how to get fee concession","fees_info","en"
"is scholarship available","fees_info","en"
"what is library fee","fees_info","en"
"do we need to pay uniform fee","fees_info","en"
"how to check pending fees","fees_info","en"
"how to update fee status","fees_info","en"
"are there any penalties","fees_info","en"
"college fees kitni hai","fees_info","hi"
"fees online pay kar sakte kya","fees_info","hi"
"last date kya hai fees ki","fees_info","hi"
"exam fees kitni hai","fees_info","hi"
"late fine lagta kya","fees_info","hi"
"installments me pay kar sakte kya","fees_info","hi"
"mujhe fee structure chahiye","fees_info","hi"
"admission fees kitna hai","fees_info","hi"
"hostel fees kaha pay kare","fees_info","hi"
"receipt kaise download kare","fees_info","hi"
"portal kab open hoga","fees_info","hi"
"UPI payment available hai kya","fees_info","hi"
"fee concession kaise milega","fees_info","hi"
"scholarship milti hai kya","fees_info","hi"
"library fee kya hai","fees_info","hi"
"pending fees kaise check kare","fees_info","hi"
"uniform fee pay karna padta kya","fees_info","hi"
"fee status update kaise kare","fees_info","hi"
"extra charges lagte kya","fees_info","hi"
"bro fees kitni lag rahi","fees_info","hi"
"bhai online payment ho jayega kya","fees_info","hi"
"yaar last date kya hai fees ki","fees_info","hi"
"bro exam fees kitni","fees_info","hi"
"bhai late fine lagega kya","fees_info","hi"
"yaar installment me pay kar sakte kya","fees_info","hi"
"bro fee structure bhej","fees_info","hi"
"bhai uniform fee dena padega kya","fees_info","hi"
"yaar pending fees check kaise","fees_info","hi"
"bro UPI chalega kya","fees_info","hi"
"bhai fees receipt download kaise","fees_info","hi"
"yaar portal open nahi ho raha","fees_info","hi"
"bro hostel fees kidhar pay","fees_info","hi"
"bhai concession milega kya","fees_info","hi"
"yaar scholarship apply kaise","fees_info","hi"
"bro extra charges kitne","fees_info","hi"
"bhai admission fee kitni","fees_info","hi"
"yaar status update nahi ho raha","fees_info","hi"
"bro late fee kitna","fees_info","hi"
"what is my attendance","attendance_query","en"
"how to check attendance","attendance_query","en"
"is attendance low","attendance_query","en"
"send my attendance report","attendance_query","en"
"what is the minimum attendance","attendance_query","en"
"meri attendance kitni hai","attendance_query","hi"
"attendance kaise check kare","attendance_query","hi"
"is my attendance short","attendance_query","hi"
"attendance report bhejo","attendance_query","hi"
"minimum attendance kitni chahiye","attendance_query","hi"
"bro attendance check kar","attendance_query","hi"
"bhai meri attendance short hai kya","attendance_query","hi"
"yaar attendance bhej","attendance_query","hi"
"bro attendance kitni","attendance_query","hi"
"bhai attendance ka portal open karo","attendance_query","hi"
"my app is not working","technical_issue","en"
"website is down","technical_issue","en"
"login is not working","technical_issue","en"
"i can't upload file","technical_issue","en"
"wifi is slow","technical_issue","en"
"app kaam nahi kar raha","technical_issue","hi"
"website open nahi ho raha","technical_issue","hi"
"login issue aa raha","technical_issue","hi"
"file upload nahi ho rahi","technical_issue","hi"
"wifi slow hai","technical_issue","hi"
"bro app crash ho gaya","technical_issue","hi"
"bhai login nahi ho raha","technical_issue","hi"
"yaar website down hai","technical_issue","hi"
"bro file upload error aa raha","technical_issue","hi"
"bhai wifi dead ho gaya","technical_issue","hi"
"how to apply for admission","admission_info","en"
"what are admission requirements","admission_info","en"
"admission ka process kya hai","admission_info","hi"
"admission form kaha milega","admission_info","hi"
"bro admission kaise hoga","admission_info","hi"
"bhai admission form bhej","admission_info","hi"

"कृपया यह दोबारा बताएं","repeat_query","hi"
"फिर से बताओ","repeat_query","hi"
"repeat please","repeat_query","en"
"can you say again","repeat_query","en"
"ek baar phir batao","repeat_query","hi"
