"text","lang"
"i forgot my notebook","en"
"this is an important topic","en"
"please be careful","en"
"i need a break","en"
"could you remind me later","en"
"the lights are not working","en"
"this is not loading","en"
"please restart the system","en"
"what is happening here","en"
"i need clarification","en"
"can you clean the board","en"
"the teacher explained well","en"
"this looks interesting","en"
"please tell me the steps","en"
"my phone battery is low","en"
"i want to participate","en"
"this is too slow","en"
"can you speed it up","en"
"i missed the lecture","en"
"where are my classmates","en"
"the exam is tough","en"
"please show me the timetable","en"
"i want to check the notice","en"
"this looks complicated","en"
"can you help me solve this","en"
"i need more examples","en"
"my computer froze","en"
"the wifi is unstable","en"
"i cannot hear you clearly","en"
"please speak louder","en"
"when will we start","en"
"i am waiting for instructions","en"
"this project is exciting","en"
"please share the link","en"
"i forgot the details","en"
"could you send me the info","en"
"where is the admin office","en"
"can you tell me the rules","en"
"i want to attend the session","en"
"this is not working properly","en"
"please fix the issue","en"
"how are you today","en"
"i am doing good","en"
"shall we begin","en"
"this is the updated version","en"
"please upload the file","en"
"i cannot find the document","en"
"send me the screenshot","en"
"this needs improvement","en"
"please try again","en"
"i want to download it","en"
"can i try this","en"
"this page is not opening","en"
"where is the teacher","en"
"i am confident about this","en"
"let me think for a moment","en"
"i need more information","en"
"can you explain the steps","en"
"please check your email","en"
"this will take some time","en"
"i completed my assignment","en"
"your explanation was clear","en"
"please turn on the projector","en"
"the file is too large","en"
"i need a charger","en"
"the class was cancelled","en"
"this is the last question","en"
"i want to submit it now","en"
"please help me register","en"
"i am preparing for the exam","en"
"this concept is easy","en"
"i like your explanation","en"
"this example is useful","en"
"please send the ppt","en"
"the room is noisy","en"
"i need silence to focus","en"
"please write that down","en"
"the file is corrupted","en"
"i cannot login","en"
"please reset the password","en"
"this app keeps crashing","en"
"i need to update the software","en"
"can you share the notes","en"
"i want to check my marks","en"
"the teacher is absent","en"
"when is the next class","en"
"the bell just rang","en"
"please bring your notebook","en"
"this video is buffering","en"
"i lost my backpack","en"
"please wait for your turn","en"
"this is a common issue","en"
"my system is overheating","en"
"can you scan this document","en"
"i want to print this page","en"
"the website is not loading","en"
"नमस्ते, आप कैसे हो","hi"
"मुझे आपकी मदद चाहिए","hi"
"आज का टाइमटेबल क्या है","hi"
"परीक्षा कब है","hi"
"कृपया मुझे नोटिस भेजें","hi"
"मैं लाइब्रेरी कैसे जाऊं","hi"
"क्या आप मुझे समझा सकते हैं","hi"
"मैं थोड़ा confused हूँ","hi"
"कृपया यह दोबारा बताएं","hi"
"आज मौसम अच्छा है","hi"
"आपका दिन कैसा रहा","hi"
"मुझे असाइनमेंट जमा करना है","hi"
"क्लास कितने बजे शुरू होगी","hi"
"क्या आज लेक्चर है","hi"
"मुझे प्रोजेक्ट के बारे में जानकारी चाहिए","hi"
"कृपया अपना ईमेल चेक करें","hi"
"मेरी इंटरनेट स्पीड बहुत slow है","hi"
"मुझे यह topic समझ नहीं आ रहा","hi"
"कृपया थोड़ा धीरे बोलिए","hi"
"आप क्या सुझाव देंगे","hi"
"कृपया form जमा करने का तरीका बताइए","hi"
"आपका नाम क्या है","hi"
"मुझे एक छोटा doubt है","hi"
"क्या आप timetable भेज सकते हैं","hi"
"मुझे लिफ्ट कहाँ मिलेगी","hi"
"क्या आप screen share कर सकते हैं","hi"
"मैं class में पहुँच गया हूँ","hi"
"मुझे यह file नहीं मिल रही","hi"
"क्या portal open है","hi"
"कृपया मुझे link भेजें","hi"
"मैं थोड़ा busy हूँ","hi"
"assignment की deadline क्या है","hi"
"मुझे topic list चाहिए","hi"
"यह application crash हो रहा है","hi"
"कृपया system restart करें","hi"
"यह file corrupt है","hi"
"क्या आप example दिखा सकते हैं","hi"
"मुझे और practice चाहिए","hi"
"यह concept बहुत आसान है","hi"
"मेरा password काम नहीं कर रहा","hi"
"मुझे अपना attendance देखना है","hi"
"teacher आज absent है","hi"
"क्या आप मुझे call कर सकते हैं","hi"
"मुझे notes चाहिए","hi"
"कृपया pdf भेजें","hi"
"मुझे थोड़ा time चाहिए","hi"
"lecture का link कहाँ है","hi"
"कृपया थोड़ा wait करें","hi"
"मैं अभी आता हूँ","hi"
"यह method आसान है","hi"
"मुझे marks check करने हैं","hi"
"क्या wifi काम कर रहा है","hi"
"आपने बहुत अच्छी तरह समझाया","hi"
"यह बिल्कुल सही है","hi"
"क्या आप attendance भेजेंगे","hi"
"मेरी tab की battery low है","hi"
"मुझे projector on करना है","hi"
"कृपया दो मिनट रुकिए","hi"
"क्या मैं अंदर आ सकता हूँ","hi"
"आपने ये कब बनाया","hi"
"मुझे syllabus चाहिए","hi"
"यहाँ काफी शोर है","hi"
"मुझे थोड़ी शान्ति चाहिए","hi"
"क्या आपको कुछ चाहिए","hi"
"कृपया इसे verify करें","hi"
"यह रहा मेरा दस्तावेज़","hi"
"क्या आपको यह समझ आया","hi"
"यह important जानकारी है","hi"
"कृपया मुझे बताएं","hi"
"मैं assignment पूरा कर चुका हूँ","hi"
"क्या इस topic के notes हैं","hi"
"यह बहुत interesting है","hi"
"आप कितने दिनों से यहाँ हैं","hi"
"क्या आप मुझे रास्ता बता सकते हैं","hi"
"मेरी network range कम है","hi"
"क्या यह link working है","hi"
"मुझे थोड़ा break चाहिए","hi"
"यह page load नहीं हो रहा","hi"
"मुझे event की details चाहिए","hi"
"क्या आपने registration किया","hi"
"मैं group join करना चाहता हूँ","hi"
"क्या आप मुझे timetable बताएंगे","hi"
"यहाँ internet slow है","hi"
"मुझे यह assignment पसंद आया","hi"
"क्या आप मुझे solution देंगे","hi"
"मुझे अपना classroom ढूंढना है","hi"
"कृपया एक बार फिर समझाएँ","hi"
"यह बहुत confusing है","hi"
"क्या आप screenshot भेज सकते हैं","hi"
"मुझे यह काम urgent है","hi"
"क्या आप मुझे guide कर सकते हैं","hi"
"यह file बहुत बड़ी है","hi"
"कृपया इसे upload कर दें","hi"
"मुझे यह lecture पसंद है","hi"
"क्या आज कोई event है","hi"
"कृपया मुझे timing बताएं","hi"
"यह बहुत easy है","hi"
"मैं ready हूँ","hi"
"क्या class cancel है","hi"
"मुझे details नहीं मिल रही","hi"
"आप बहुत helpful हैं","hi"
"क्या student list मिली","hi"
"मैं campus में नया हूँ","hi"
"कृपया मुझे help चाहिए","hi"
"मुझे यह PPT चाहिए","hi"
"क्या मैं यहाँ बैठ सकता हूँ","hi"
"क्या आप इस page को खोल सकते हैं","hi"
"मैं अपना lunch भूल गया","hi"
"क्या आज holiday है","hi"
"कृपया note बना लें","hi"
"यह machine slow है","hi"
"मेरी आवाज़ clear नहीं आ रही","hi"
"क्या यह device working है","hi"
"मुझे instructions चाहिए","hi"
"क्या आप मुझे rules बतायेंगे","hi"
"मुझे अपनी report print करनी है","hi"
"यहाँ backup लेना है","hi"
"क्या आप मुझसे बात कर सकते हैं","hi"
"कृपया मुझे बताएं आगे क्या करना है","hi"
"यह काम important है","hi"
"मुझे project submit करना है","hi"
"क्या आप मुझे ppt देंगे","hi"
"मैं अभी busy हूँ","hi"
"मेरी battery खत्म हो रही है","hi"
"क्या आप volume बड़ा सकते हैं","hi"
"मुझे यह schedule समझना है","hi"
"क्या आप मुझे लागिन में help करेंगे","hi"
"मैं test शुरू कर रहा हूँ","hi"
"क्या आप मुझे answer बताएंगे","hi"
"मुझे यह website पसंद है","hi"
"आप कहाँ से हो","hi"
"मुझे form भरना है","hi"
"कहाँ जाना है मुझे","hi"
"क्या आप मुझे रास्ता दिखाएँगे","hi"
"यहाँ rush बहुत है","hi"
"मैं थोड़ा late हूँ","hi"
"क्या आप मुझे seat दिला सकते हैं","hi"
"मुझे यह class attend करनी है","hi"
"मैंने registration कर लिया","hi"
"मुझे doubts पूछने हैं","hi"
"क्या कोई assignment है","hi"
"यह lecture बहुत अच्छा था","hi"
"आपका जवाब clear था","hi"
"मुझे थोड़ा पानी चाहिए","hi"
"क्या AC काम कर रहा है","hi"
"मुझे अपनी किताब चाहिए","hi"
"क्या आपका mobile silent पर है","hi"
"यह app hang हो गया","hi"
"क्या आप इसे explain कर सकते हैं","hi"
"मैंने आपकी बात समझ ली","hi"
"कृपया मुझे notes दें","hi"
"मुझे यह option पसंद है","hi"
"क्या आप इस question को हल कर सकते हैं","hi"
"यह बहुत helpful था","hi"
"मैंने सब कुछ लिख लिया है","hi"
"यह phone बहुत slow है","hi"
"क्या आप फोन charge करेंगे","hi"
"मुझे यह देखने दें","hi"
"कहाँ बैठूँ मैं","hi"
"मुझे यह जगह पसंद है","hi"
"यह मेरा favourite subject है","hi"
"क्या आप मुझे call करेंगे","hi"
"मुझे आपका message मिला","hi"
"मैंने email भेज दिया है","hi"
"आपका network weak है","hi"
"मुझे यह पूरा करना है","hi"
"क्या आप मुझे route बताएंगे","hi"
"मैंने chapter पढ़ लिया","hi"
"मुझे chapter repeat चाहिए","hi"
"क्या यह class online है","hi"
"आप कब आए","hi"
"मुझे यह video चाहिए","hi"
"क्या आप मुझे link देंगे","hi"
"मैं सोच रहा हूँ क्या करूँ","hi"
"आपकी smile अच्छी है","hi"
"यह काम simple है","hi"
"क्या मैं यह try कर सकता हूँ","hi"
"मैं जल्दी आऊँगा","hi"
"आप कहाँ बैठे हैं","hi"
"कृपया system चालू करें","hi"
"यहाँ बहुत गर्मी है","hi"
"मुझे ये नोट्स चाहिए","hi"
"क्या मैं यहाँ charge कर सकता हूँ","hi"
"यह concept tough है","hi"
"आपने बहुत अच्छा पढ़ाया","hi"
"मुझे यह सीखना है","hi"
"कृपया मुझे पूरी जानकारी दें","hi"
"मैं थोड़ा nervous हूँ","hi"
"कृपया assignment upload करें","hi"
"क्या attendance mark हो गयी","hi"
"मुझे यह process समझ नहीं आया","hi"
"क्या यह सही answer है","hi"
"मैंने अपनी पूरी कोशिश की","hi"
"यह test आसान था","hi"
"मुझे break चाहिए","hi"
"क्या आप मुझे motivate कर सकते हैं","hi"
"मैं जल्द ही आता हूँ","hi"
"यह table टूट गया है","hi"
"क्या आप इसे fix करेंगे","hi"
"मुझे यह जगह पसंद नहीं","hi"
"क्या आप मुझे book देंगे","hi"
"मैंने अभी तक खाना नहीं खाया","hi"
"क्या आप मुझे बता सकते हैं exam कब है","hi"
"यह laptop बहुत धीमा है","hi"
"क्या projector काम करेगा","hi"
"मुझे समय पर submit करना है","hi"
"क्या आप मुझे formula बताएंगे","hi"
"यह बहुत smooth था","hi"
"मेरे पास coins नहीं है","hi"
"मुझे अपने teacher से मिलना है","hi"
"क्या आप मुझे date बताएंगे","hi"
"यह मेरा favourite teacher है","hi"
"मुझे यह समझ आ गया","hi"
"क्या आप मुझे समझाएँगे","hi"
"मैं class की तरफ जा रहा हूँ","hi"
"क्या यह lecture record होगा","hi"
"मुझे कुछ पूछना है","hi"
"यह बहुत आसान नहीं है","hi"
"क्या आप मुझे topic भेजेंगे","hi"
"मुझे यह काम करना था","hi"
"क्या आप यहाँ wait करेंगे","hi"
"मैं अभी free हूँ","hi"
"यह device reboot चाहिए","hi"
"क्या मैं अंदर आ जाऊं","hi"
"मुझे यह question पसंद है","hi"
"यह battery drain कर रहा है","hi"
"क्या आप मुझे idea देंगे","hi"
"मैं जल्दी सीख रहा हूँ","hi"
"यह layout सुंदर है","hi"
"मुझे यह pdf डाउनलोड करनी है","hi"
"क्या आप मुझे new timetable देंगे","hi"
"मैं campus पहुँच गया","hi"
"यह system updated है","hi"
"क्या मैं print निकालूँ","hi"
"मुझे register करना है","hi"
"क्या यह seat खाली है","hi"
"मुझे exam centre पता है","hi"
"कृपया form जमा कीजिए","hi"
"मैं teacher से मिलने जा रहा हूँ","hi"
"क्या आप मुझे सही answer बताएंगे","hi"
"मुझे यह बहुत पसंद आया","hi"
"मैं time management सीख रहा हूँ","hi"
"क्या आप मुझे document देंगे","hi"
"मैं confused नहीं हूँ अब","hi"
"कृपया help करें","hi"
"यह computer fast है","hi"
"मैं अपनी project team ढूँढ रहा हूँ","hi"
"क्या यह file download होगी","hi"
"मुझे यह image चाहिए","hi"
"यह बहुत अच्छा example है","hi"
"क्या आप मुझे steps बताएंगे","hi"
"मुझे यह topic difficult लगा","hi"
"मैं class के बाहर हूँ","hi"
"क्या यह wifi password सही है","hi"
"मुझे books return करनी हैं","hi"
"यह assignment आसान नहीं था","hi"
"आपकी handwriting अच्छी है","hi"
"क्या आप मुझे guide करेंगे","hi"
"मैं नया हूँ यहाँ","hi"
"मुझे यह diagram बनाना है","hi"
"क्या आप मुझे सुन सकते हैं","hi"
"मैं बहुत tired हूँ","hi"
"यह charger काम नहीं कर रहा","hi"
"क्या आप मुझे new link देंगे","hi"
"मुझे यह काफी पसंद आया","hi"
"मैं practice कर रहा हूँ","hi"
"क्या यह solution सही है","hi"
"मुझे यह समझने में time लगा","hi"
"कृपया इसे send करें","hi"
"मैं lecture miss कर गया","hi"
"क्या आप मुझे attendance बताएंगे","hi"
"मैं class में बैठा हूँ","hi"
"यह बहुत भारी bag है","hi"
"मुझे नया mobile चाहिए","hi"
"क्या आप मुझे वही slide खोलेंगे","hi"
"मुझे screenshot देखना है","hi"

"hello bro kaise ho","hi"
"mujhe thodi help chahiye","hi"
"aaj ka timetable kya hai","hi"
"exam kab hoga bhai","hi"
"please mujhe notice bhejo","hi"
"library ka raasta kidhar hai","hi"
"ye topic samajh nahi aa raha","hi"
"thoda slow bolo please","hi"
"class kitne baje start hogi","hi"
"mujhe project details chahiye","hi"
"wifi bohot slow chal raha hai","hi"
"mujhe assignment submit karna hai","hi"
"teacher aaj absent hai kya","hi"
"yaar mujhe notes bhej do","hi"
"pdf upload nahi ho rahi","hi"
"mera password kaam nahi kar raha","hi"
"attendance kitni bani hai meri","hi"
"portal open ho raha hai kya","hi"
"mera phone lag kar raha hai","hi"
"thoda ruk jao please","hi"
"tum kaha ho abhi","hi"
"mera laptop hang ho gaya","hi"
"lecture ka link send karo","hi"
"ye method easy lag raha hai","hi"
"mujhe thoda break chahiye","hi"
"kya class cancel ho gayi","hi"
"ye question thoda tough hai","hi"
"bhai screenshot bhej de","hi"
"mujhe yeh file nahi mil rahi","hi"
"ye application crash ho gayi","hi"
"kripya ek baar fir explain karo","hi"
"mujhe timetable chahiye","hi"
"bahut confusion ho raha hai","hi"
"tum please dubara bolo","hi"
"mujhe ye concept samajh aa gaya","hi"
"tum kaunse class me ho","hi"
"ye topic bohot interesting hai","hi"
"exam hall kidhar hai","hi"
"yaar mujhe pani chahiye","hi"
"ac kaam kar raha hai kya","hi"
"mera network bilkul weak hai","hi"
"teacher ne kya bola tha","hi"
"kya ye device sahi hai","hi"
"tumne registration kar liya","hi"
"class kab start hogi","hi"
"ye jagah thodi noisy hai","hi"
"main thoda busy hoon abhi","hi"
"kya tum mujhe call kar skte ho","hi"
"bhai volume badha do","hi"
"unit test kab se shuru hai","hi"
"mujhe event ki details chahiye","hi"
"tumne ppt download ki kya","hi"
"ye chapter bohot lamba hai","hi"
"mujhe thodi guidance chahiye","hi"
"form kaha submit karna hai","hi"
"main campus aa raha hoon","hi"
"project submit karna hai","hi"
"tum kaha rehte ho","hi"
"kal class hogi kya","hi"
"mujhe topic list bhejo","hi"
"kya tum mujhe rules bataoge","hi"
"wifi ka password kya hai","hi"
"ye link open nahi ho raha","hi"
"mera charger kaha gaya","hi"
"mujhe ye question pasand aaya","hi"
"main lecture miss kar gaya","hi"
"ye table toot gaya","hi"
"yaar mujhe book de do","hi"
"main thoda late ho raha hoon","hi"
"tum kahan baith rahe ho","hi"
"mujhe attendance check karni hai","hi"
"ye app update maang raha hai","hi"
"projector on kar do please","hi"
"ye assignment easy hai","hi"
"mujhe screenshot chahiye","hi"
"tumhare notes bohot ache hain","hi"
"main confused ho gaya tha","hi"
"kya main yaha baith sakta hoon","hi"
"ye device restart karna padega","hi"
"tumne kya khaya aaj","hi"
"main aaj thoda tired hoon","hi"
"mera bag bohot heavy hai","hi"
"mujhe new timetable chahiye","hi"
"ye solution sahi lag raha hai","hi"
"kripya mujhe steps batao","hi"
"mujhe thoda sa doubt hai","hi"
"ye system slow chal raha hai","hi"
"main presentation de raha hoon","hi"
"tum class me ho kya","hi"
"teacher ka mood theek nahi lag raha","hi"
"mujhe result kab milega","hi"
"assignment upload nahi ho raha","hi"
"laptop ki battery low hai","hi"
"mujhe internet chahiye","hi"
"ye process samajh nhi aaya","hi"
"tum mujhe sun pa rahe ho","hi"
"mujhe break chahiye","hi"
"main canteen ja raha hoon","hi"
"kya tumne lunch kiya","hi"
"ye jagah bohot garam hai","hi"
"mera phone switch off ho gaya","hi"
"mujhe projector connect karna hai","hi"
"ye chapter easy hai","hi"
"tumhare paas pen hai kya","hi"
"mujhe answer batao","hi"
"main sir ke pass jaa raha hoon","hi"
"ye table bohot weak hai","hi"
"kya tum note banaoge","hi"
"ye slide clear nahi hai","hi"
"mujhe ye diagram banana hai","hi"
"please mujhe ek pen de do","hi"
"kya ye room free hai","hi"
"tumhare paas charger hai kya","hi"
"mujhe library card banana hai","hi"
"ye time kam pad raha hai","hi"
"tum kahaan ho exactly","hi"
"main abhi aa raha hoon","hi"
"kya tum wait karoge","hi"
"ye class bohot boring hai","hi"
"mera system restart ho gaya","hi"
"mujhe voice clear nahi aa rahi","hi"
"tumhare phone ki ringtone acchi hai","hi"
"mujhe pata nahi kya ho raha","hi"
"main print lene ja raha hoon","hi"
"ye lecture record ho raha hai kya","hi"
"mujhe update karna hai","hi"
"tum kahaan ja rahe ho","hi"
"main screenshot le leta hoon","hi"
"ye button kaam nahi kar raha","hi"
"mujhe notes revise karne hain","hi"
"assignment bohot long hai","hi"
"ye project bohot interesting hai","hi"
"mujhe idea samajh aa gaya","hi"
"tum offline ho kya","hi"
"mujhe pdf nahi mil rahi","hi"
"ye folder empty dikha raha hai","hi"
"main ready hoon start karne ke liye","hi"
"kya ye important hai","hi"
"mujhe ye file bhejo","hi"
"tumhe samajh aaya kya","hi"
"main doubt poochna chah raha hoon","hi"
"ye aaye log kaha gaye","hi"
"teacher kab aaenge","hi"
"mujhe timetable confirm karo","hi"
"slide zoom nahi ho rahi","hi"
"mujhe online class join karni hai","hi"
"tumhare net me issue hai","hi"
"main bahar wait kar raha hoon","hi"
"ye message deliver nahi hua","hi"
"kya tum free ho","hi"
"mujhe ek problem hai","hi"
"ye assignment tough lag raha hai","hi"
"tumne question solve kiya kya","hi"
"mujhe choti si help chahiye","hi"
"main campus aa chuka hoon","hi"
"tum mujhe notes forward kar do","hi"
"ye project submit karna zaruri hai","hi"
"mera phone garam ho raha hai","hi"
"mujhe practise karni hai","hi"
"tumne lecture join kiya kya","hi"
"ye class link open nahi ho raha","hi"
"mujhe slides chahiye","hi"
"ye list update nahi ho rahi","hi"
"main ye kaam kal kar lunga","hi"
"mujhe answer verify karna hai","hi"
"tum online ho kya","hi"
"mera internet chala gaya","hi"
"tum mujhe dekh pa rahe ho","hi"
"kya voice aa rahi hai","hi"
"ye concept bohot hard hai","hi"
"mujhe shortcuts chahiye","hi"
"ye file download nahi ho rahi","hi"
"main confused hoon thoda","hi"
"mujhe ye chapter difficult lagta hai","hi"
"kya tumne notes likhe","hi"
"ye table wobbly lag raha hai","hi"
"mujhe ek pen chahiye","hi"
"main abhi free hoon","hi"
"ye background noise bohot hai","hi"
"mujhe headphones chahiye","hi"
"tumhare screen pe kya dikh raha","hi"
"mera audio mute ho gaya","hi"
"mujhe zoom link chahiye","hi"
"ye document open nahi ho raha","hi"
"main aaj late aaunga","hi"
"mujhe file rename karni hai","hi"
